time;P_infl_load_[kW]
2021-11-01 00:00:00+00:00;22.7
2021-11-01 00:15:00+00:00;22.252
2021-11-01 00:30:00+00:00;23.74
2021-11-01 00:45:00+00:00;33.32
2021-11-01 01:00:00+00:00;29.964
2021-11-01 01:15:00+00:00;29.112
2021-11-01 01:30:00+00:00;29.244
2021-11-01 01:45:00+00:00;27.788
2021-11-01 02:00:00+00:00;20.56
2021-11-01 02:15:00+00:00;21.108
2021-11-01 02:30:00+00:00;19.644
2021-11-01 02:45:00+00:00;18.408
2021-11-01 03:00:00+00:00;20.684
2021-11-01 03:15:00+00:00;28.36
2021-11-01 03:30:00+00:00;32.864
2021-11-01 03:45:00+00:00;25.728
2021-11-01 04:00:00+00:00;26.536
2021-11-01 04:15:00+00:00;28.396
2021-11-01 04:30:00+00:00;28.096
2021-11-01 04:45:00+00:00;27.848
2021-11-01 05:00:00+00:00;30.788
2021-11-01 05:15:00+00:00;34.472
2021-11-01 05:30:00+00:00;34.136
2021-11-01 05:45:00+00:00;31.856
2021-11-01 06:00:00+00:00;33.336
2021-11-01 06:15:00+00:00;36.3
2021-11-01 06:30:00+00:00;40.008
2021-11-01 06:45:00+00:00;34.716
2021-11-01 07:00:00+00:00;39.788
2021-11-01 07:15:00+00:00;39.32
2021-11-01 07:30:00+00:00;39.54
2021-11-01 07:45:00+00:00;40.052
2021-11-01 08:00:00+00:00;34.972
2021-11-01 08:15:00+00:00;39.504
2021-11-01 08:30:00+00:00;38.304
2021-11-01 08:45:00+00:00;33.888
2021-11-01 09:00:00+00:00;38.704
2021-11-01 09:15:00+00:00;44.036
2021-11-01 09:30:00+00:00;37.676
2021-11-01 09:45:00+00:00;34.064
2021-11-01 10:00:00+00:00;34.788
2021-11-01 10:15:00+00:00;44.696
2021-11-01 10:30:00+00:00;45.572
2021-11-01 10:45:00+00:00;43.868
2021-11-01 11:00:00+00:00;37.328
2021-11-01 11:15:00+00:00;39.992
2021-11-01 11:30:00+00:00;45.888
2021-11-01 11:45:00+00:00;37.76
2021-11-01 12:00:00+00:00;36.42
2021-11-01 12:15:00+00:00;40.096
2021-11-01 12:30:00+00:00;36.072
2021-11-01 12:45:00+00:00;33.876
2021-11-01 13:00:00+00:00;33.16
2021-11-01 13:15:00+00:00;35.576
2021-11-01 13:30:00+00:00;33.612
2021-11-01 13:45:00+00:00;34.708
2021-11-01 14:00:00+00:00;38.292
2021-11-01 14:15:00+00:00;34.988
2021-11-01 14:30:00+00:00;32.016
2021-11-01 14:45:00+00:00;31.8
2021-11-01 15:00:00+00:00;30.108
