time;P_pv_[kW]
2021-11-01 00:00:00+00:00;0.0015275
2021-11-01 00:15:00+00:00;0.001535
2021-11-01 00:30:00+00:00;0.0018425
2021-11-01 00:45:00+00:00;0.0018425
2021-11-01 01:00:00+00:00;0.0018425
2021-11-01 01:15:00+00:00;0.0018425
2021-11-01 01:30:00+00:00;0.0018425
2021-11-01 01:45:00+00:00;0.0018425
2021-11-01 02:00:00+00:00;0.0018425
2021-11-01 02:15:00+00:00;0.0018425
2021-11-01 02:30:00+00:00;0.0018425
2021-11-01 02:45:00+00:00;0.0012275
2021-11-01 03:00:00+00:00;0.00092
2021-11-01 03:15:00+00:00;0.00092
2021-11-01 03:30:00+00:00;0.0018425
2021-11-01 03:45:00+00:00;0.001795
2021-11-01 04:00:00+00:00;0.00173
2021-11-01 04:15:00+00:00;0.0016475
2021-11-01 04:30:00+00:00;0.00154
2021-11-01 04:45:00+00:00;0.0013925
2021-11-01 05:00:00+00:00;0.00138
2021-11-01 05:15:00+00:00;0.0012925
2021-11-01 05:30:00+00:00;0.000765
2021-11-01 05:45:00+00:00;0.0005725
2021-11-01 06:00:00+00:00;0.0005725
2021-11-01 06:15:00+00:00;0.002165
2021-11-01 06:30:00+00:00;0.0049775
2021-11-01 06:45:00+00:00;0.00541
2021-11-01 07:00:00+00:00;0.0106025
2021-11-01 07:15:00+00:00;0.0106025
2021-11-01 07:30:00+00:00;0.00844
2021-11-01 07:45:00+00:00;0.0097375
2021-11-01 08:00:00+00:00;0.018825
2021-11-01 08:15:00+00:00;0.01926
2021-11-01 08:30:00+00:00;0.02705
2021-11-01 08:45:00+00:00;0.0564775
2021-11-01 09:00:00+00:00;0.076385
2021-11-01 09:15:00+00:00;0.0465525
2021-11-01 09:30:00+00:00;0.0420425
2021-11-01 09:45:00+00:00;0.067775
2021-11-01 10:00:00+00:00;0.10298
2021-11-01 10:15:00+00:00;0.1037325
2021-11-01 10:30:00+00:00;0.088005
2021-11-01 10:45:00+00:00;0.056915
2021-11-01 11:00:00+00:00;0.0743925
2021-11-01 11:15:00+00:00;0.06959
2021-11-01 11:30:00+00:00;0.0672225
2021-11-01 11:45:00+00:00;0.064785
2021-11-01 12:00:00+00:00;0.059565
2021-11-01 12:15:00+00:00;0.063865
2021-11-01 12:30:00+00:00;0.045135
2021-11-01 12:45:00+00:00;0.042065
2021-11-01 13:00:00+00:00;0.067855
2021-11-01 13:15:00+00:00;0.1040875
2021-11-01 13:30:00+00:00;0.1719425
2021-11-01 13:45:00+00:00;0.18054
2021-11-01 14:00:00+00:00;0.11115
2021-11-01 14:15:00+00:00;0.1252725
2021-11-01 14:30:00+00:00;0.2238325
2021-11-01 14:45:00+00:00;0.141545
2021-11-01 15:00:00+00:00;0.05097
2021-11-01 15:15:00+00:00;0.0221075
2021-11-01 15:30:00+00:00;0.0107475
2021-11-01 15:45:00+00:00;0.00829
2021-11-01 16:00:00+00:00;0.0055275
2021-11-01 16:15:00+00:00;0.0000475
2021-11-01 16:30:00+00:00;0.00003
2021-11-01 16:45:00+00:00;0.00003
2021-11-01 17:00:00+00:00;0.000175
2021-11-01 17:15:00+00:00;0.0004775
2021-11-01 17:30:00+00:00;0.000805
2021-11-01 17:45:00+00:00;0.000965
2021-11-01 18:00:00+00:00;0.00126
2021-11-01 18:15:00+00:00;0.00175
2021-11-01 18:30:00+00:00;0.001855
2021-11-01 18:45:00+00:00;0.001505
2021-11-01 19:00:00+00:00;0.0012975
2021-11-01 19:15:00+00:00;0.0012975
2021-11-01 19:30:00+00:00;0.0013325
2021-11-01 19:45:00+00:00;0.0018325
2021-11-01 20:00:00+00:00;0.0018875
2021-11-01 20:15:00+00:00;0.00145
2021-11-01 20:30:00+00:00;0.001485
2021-11-01 20:45:00+00:00;0.001515
2021-11-01 21:00:00+00:00;0.001545
2021-11-01 21:15:00+00:00;0.002095
2021-11-01 21:30:00+00:00;0.0015975
2021-11-01 21:45:00+00:00;0.0010825
2021-11-01 22:00:00+00:00;0.0010975
2021-11-01 22:15:00+00:00;0.0016725
2021-11-01 22:30:00+00:00;0.0025425
2021-11-01 22:45:00+00:00;0.00315
2021-11-01 23:00:00+00:00;0.00232
2021-11-01 23:15:00+00:00;0.0017625
2021-11-01 23:30:00+00:00;0.001785
2021-11-01 23:45:00+00:00;0.0006025
2021-11-02 00:00:00+00:00;0.00061
2021-11-02 00:15:00+00:00;0.0018425
2021-11-02 00:30:00+00:00;0.00215
2021-11-02 00:45:00+00:00;0.00215
2021-11-02 01:00:00+00:00;0.0018425
2021-11-02 01:15:00+00:00;0.0018425
2021-11-02 01:30:00+00:00;0.0018425
2021-11-02 01:45:00+00:00;0.0024575
2021-11-02 02:00:00+00:00;0.0024575
2021-11-02 02:15:00+00:00;0.0018425
2021-11-02 02:30:00+00:00;0.00307
2021-11-02 02:45:00+00:00;0.00307
2021-11-02 03:00:00+00:00;0.0018425
2021-11-02 03:15:00+00:00;0.0018425
2021-11-02 03:30:00+00:00;0.0027575
2021-11-02 03:45:00+00:00;0.002085
2021-11-02 04:00:00+00:00;0.0017225
2021-11-02 04:15:00+00:00;0.00164
2021-11-02 04:30:00+00:00;0.0015325
2021-11-02 04:45:00+00:00;0.0013875
2021-11-02 05:00:00+00:00;0.0013775
2021-11-02 05:15:00+00:00;0.00072
2021-11-02 05:30:00+00:00;0.0005725
2021-11-02 05:45:00+00:00;0.0003825
2021-11-02 06:00:00+00:00;0.000765
2021-11-02 06:15:00+00:00;0.0043275
2021-11-02 06:30:00+00:00;0.00714
2021-11-02 06:45:00+00:00;0.0080075
2021-11-02 07:00:00+00:00;0.0075725
2021-11-02 07:15:00+00:00;0.009305
2021-11-02 07:30:00+00:00;0.0142825
2021-11-02 07:45:00+00:00;0.02034
2021-11-02 08:00:00+00:00;0.017095
2021-11-02 08:15:00+00:00;0.0222875
2021-11-02 08:30:00+00:00;0.04133
2021-11-02 08:45:00+00:00;0.059075
2021-11-02 09:00:00+00:00;0.05508
2021-11-02 09:15:00+00:00;0.0576875
2021-11-02 09:30:00+00:00;0.0839175
