time;t_2m_C;global_rad_W_per_m2
2021-05-01 00:00:00+00:00;6;2
2021-05-01 00:15:00+00:00;5.95;2
2021-05-01 00:30:00+00:00;5.9;2
2021-05-01 00:45:00+00:00;5.9;2
2021-05-01 01:00:00+00:00;5.9;2
2021-05-01 01:15:00+00:00;5.95;2
2021-05-01 01:30:00+00:00;5.9;2
2021-05-01 01:45:00+00:00;5.95;2
2021-05-01 02:00:00+00:00;6;2
2021-05-01 02:15:00+00:00;5.95;2.6667
2021-05-01 02:30:00+00:00;5.6;2
2021-05-01 02:45:00+00:00;5.7;2
2021-05-01 03:00:00+00:00;5.9;2
2021-05-01 03:15:00+00:00;6;2
2021-05-01 03:30:00+00:00;6.1;2
2021-05-01 03:45:00+00:00;6.2;2
2021-05-01 04:00:00+00:00;6.1;3.3333
2021-05-01 04:15:00+00:00;6.1;5.3333
2021-05-01 04:30:00+00:00;6.3;11.3333
2021-05-01 04:45:00+00:00;6.25;27.3333
2021-05-01 05:00:00+00:00;6.3;43
2021-05-01 05:15:00+00:00;6.45;45
2021-05-01 05:30:00+00:00;6.5;55
2021-05-01 05:45:00+00:00;6.8;61
2021-05-01 06:00:00+00:00;6.8;52
2021-05-01 06:15:00+00:00;6.85;62
2021-05-01 06:30:00+00:00;6.9;90
2021-05-01 06:45:00+00:00;6.9;89.3333
2021-05-01 07:00:00+00:00;6.9;105
2021-05-01 07:15:00+00:00;6.9;127
2021-05-01 07:30:00+00:00;7.2;131.3333
2021-05-01 07:45:00+00:00;7.2;102.6667
2021-05-01 08:00:00+00:00;7.3;127.6667
2021-05-01 08:15:00+00:00;7.4;151
2021-05-01 08:30:00+00:00;7.7;222.3333
2021-05-01 08:45:00+00:00;8.15;235.6667
2021-05-01 09:00:00+00:00;8.1;293.6667
2021-05-01 09:15:00+00:00;8.6;234.3333
2021-05-01 09:30:00+00:00;8.6;189
2021-05-01 09:45:00+00:00;8.6;131.6667
2021-05-01 10:00:00+00:00;8.8;124
2021-05-01 10:15:00+00:00;8.85;107.3333
2021-05-01 10:30:00+00:00;9.3;127
2021-05-01 10:45:00+00:00;9.3;117.6667
2021-05-01 11:00:00+00:00;9.2;117.3333
2021-05-01 11:15:00+00:00;9;105.3333
2021-05-01 11:30:00+00:00;9.1;101
2021-05-01 11:45:00+00:00;9;77
2021-05-01 12:00:00+00:00;8.8;75.6667
2021-05-01 12:15:00+00:00;8.8;85
2021-05-01 12:30:00+00:00;8.8;121.6667
