time;t_2m_C_n;global_rad_W_per_m2_n
2021-05-01 00:00:00+00:00;-0.337;-0.9968
2021-05-01 00:15:00+00:00;-0.3392;-0.9968
2021-05-01 00:30:00+00:00;-0.3414;-0.9968
2021-05-01 00:45:00+00:00;-0.3414;-0.9968
2021-05-01 01:00:00+00:00;-0.3414;-0.9968
2021-05-01 01:15:00+00:00;-0.3392;-0.9968
2021-05-01 01:30:00+00:00;-0.3414;-0.9968
2021-05-01 01:45:00+00:00;-0.3392;-0.9968
2021-05-01 02:00:00+00:00;-0.337;-0.9968
2021-05-01 02:15:00+00:00;-0.3392;-0.9957
2021-05-01 02:30:00+00:00;-0.3546;-0.9968
2021-05-01 02:45:00+00:00;-0.3502;-0.9968
2021-05-01 03:00:00+00:00;-0.3414;-0.9968
2021-05-01 03:15:00+00:00;-0.337;-0.9968
2021-05-01 03:30:00+00:00;-0.3326;-0.9968
2021-05-01 03:45:00+00:00;-0.3282;-0.9968
2021-05-01 04:00:00+00:00;-0.3326;-0.9946
2021-05-01 04:15:00+00:00;-0.3326;-0.9914
2021-05-01 04:30:00+00:00;-0.3238;-0.9817
2021-05-01 04:45:00+00:00;-0.326;-0.956
2021-05-01 05:00:00+00:00;-0.3238;-0.9307
2021-05-01 05:15:00+00:00;-0.3172;-0.9275
2021-05-01 05:30:00+00:00;-0.315;-0.9114
2021-05-01 05:45:00+00:00;-0.3018;-0.9017
2021-05-01 06:00:00+00:00;-0.3018;-0.9162
2021-05-01 06:15:00+00:00;-0.2996;-0.9001
2021-05-01 06:30:00+00:00;-0.2974;-0.855
2021-05-01 06:45:00+00:00;-0.2974;-0.8561
2021-05-01 07:00:00+00:00;-0.2974;-0.8309
2021-05-01 07:15:00+00:00;-0.2974;-0.7954
2021-05-01 07:30:00+00:00;-0.2841;-0.7885
2021-05-01 07:45:00+00:00;-0.2841;-0.8346
2021-05-01 08:00:00+00:00;-0.2797;-0.7944
2021-05-01 08:15:00+00:00;-0.2753;-0.7568
2021-05-01 08:30:00+00:00;-0.2621;-0.6419
2021-05-01 08:45:00+00:00;-0.2423;-0.6204
2021-05-01 09:00:00+00:00;-0.2445;-0.527
2021-05-01 09:15:00+00:00;-0.2225;-0.6226
2021-05-01 09:30:00+00:00;-0.2225;-0.6956
2021-05-01 09:45:00+00:00;-0.2225;-0.7879
2021-05-01 10:00:00+00:00;-0.2137;-0.8003
2021-05-01 10:15:00+00:00;-0.2115;-0.8271
2021-05-01 10:30:00+00:00;-0.1916;-0.7954
2021-05-01 10:45:00+00:00;-0.1916;-0.8105
2021-05-01 11:00:00+00:00;-0.196;-0.811
2021-05-01 11:15:00+00:00;-0.2048;-0.8303
2021-05-01 11:30:00+00:00;-0.2004;-0.8373
2021-05-01 11:45:00+00:00;-0.2048;-0.876
2021-05-01 12:00:00+00:00;-0.2137;-0.8781
2021-05-01 12:15:00+00:00;-0.2137;-0.8631
2021-05-01 12:30:00+00:00;-0.2137;-0.804
2021-05-01 12:45:00+00:00;-0.207;-0.746
2021-05-01 13:00:00+00:00;-0.2093;-0.6999
2021-05-01 13:15:00+00:00;-0.196;-0.7611
2021-05-01 13:30:00+00:00;-0.2137;-0.8851
2021-05-01 13:45:00+00:00;-0.2291;-0.8894
2021-05-01 14:00:00+00:00;-0.2269;-0.8631
2021-05-01 14:15:00+00:00;-0.2401;-0.8695
2021-05-01 14:30:00+00:00;-0.2401;-0.8932
2021-05-01 14:45:00+00:00;-0.2401;-0.9082
2021-05-01 15:00:00+00:00;-0.2445;-0.9366
2021-05-01 15:15:00+00:00;-0.2533;-0.9409
2021-05-01 15:30:00+00:00;-0.2533;-0.9436
2021-05-01 15:45:00+00:00;-0.2599;-0.9468
2021-05-01 16:00:00+00:00;-0.2621;-0.9474
2021-05-01 16:15:00+00:00;-0.2643;-0.9506
2021-05-01 16:30:00+00:00;-0.2665;-0.9587
2021-05-01 16:45:00+00:00;-0.2731;-0.9662
2021-05-01 17:00:00+00:00;-0.2709;-0.971
2021-05-01 17:15:00+00:00;-0.2753;-0.9774
2021-05-01 17:30:00+00:00;-0.2753;-0.9834
2021-05-01 17:45:00+00:00;-0.2775;-0.9877
2021-05-01 18:00:00+00:00;-0.2841;-0.9925
2021-05-01 18:15:00+00:00;-0.2841;-0.9946
2021-05-01 18:30:00+00:00;-0.2797;-0.9968
2021-05-01 18:45:00+00:00;-0.2841;-0.9968
2021-05-01 19:00:00+00:00;-0.2885;-0.9968
2021-05-01 19:15:00+00:00;-0.2885;-0.9968
2021-05-01 19:30:00+00:00;-0.293;-0.9968
2021-05-01 19:45:00+00:00;-0.2974;-0.9968
2021-05-01 20:00:00+00:00;-0.3018;-0.9968
2021-05-01 20:15:00+00:00;-0.3062;-0.9968
2021-05-01 20:30:00+00:00;-0.3106;-0.9968
2021-05-01 20:45:00+00:00;-0.315;-0.9968
2021-05-01 21:00:00+00:00;-0.3194;-0.9962
2021-05-01 21:15:00+00:00;-0.3282;-0.9962
2021-05-01 21:30:00+00:00;-0.337;-0.9968
2021-05-01 21:45:00+00:00;-0.348;-0.9968
2021-05-01 22:00:00+00:00;-0.3502;-0.9968
2021-05-01 22:15:00+00:00;-0.3546;-0.9968
2021-05-01 22:30:00+00:00;-0.3546;-0.9968
2021-05-01 22:45:00+00:00;-0.359;-0.9968
2021-05-01 23:00:00+00:00;-0.3634;-0.9968
2021-05-01 23:15:00+00:00;-0.3634;-0.9968
2021-05-01 23:30:00+00:00;-0.3634;-0.9968
2021-05-01 23:45:00+00:00;-0.3656;-0.9968
2021-05-02 00:00:00+00:00;-0.3634;-0.9968
2021-05-02 00:15:00+00:00;-0.359;-0.9968
2021-05-02 00:30:00+00:00;-0.359;-0.9968
2021-05-02 00:45:00+00:00;-0.3634;-0.9968
2021-05-02 01:00:00+00:00;-0.3634;-0.9968
2021-05-02 01:15:00+00:00;-0.3634;-0.9968
